,url,article_length,neg,neu,pos,compound,mean_sentence_compound,alpha_30,alpha_50,alpha_150,alpha_300,alpha_400
11,https://www.theguardian.com/politics/2018/sep/21/article-50-european-court-of-justice,537,0.051,0.862,0.087,0.9463,0.1589714285714286,0.9004151080875377,0.8484790053795074,0.6792905782476386,0.5476432813373583,0.493119791110049
10,https://www.theguardian.com/politics/2018/sep/20/labours-annual-conference-to-focus-on-austerity-and-brexit,445,0.036,0.873,0.091,0.9756,0.28585,0.9529031283581952,0.924966864094984,0.814744015615872,0.7048337879358963,0.6522503153318586
13,https://www.theguardian.com/politics/2018/sep/22/brexit-deal-darker-hours-uk-ireland-border,450,0.045,0.89,0.065,0.8677,0.12123846153846153,0.7769973376307465,0.6910579774803023,0.4832599567919427,0.36360423233913086,0.3202270420941442
12,https://www.theguardian.com/politics/2018/sep/21/former-tory-mep-leader-criticises-partys-stance-on-supporting-hungary,940,0.069,0.81,0.121,0.9956,0.17057666666666665,0.9912575735370203,0.9855550844637648,0.9584489401801932,0.921681122759652,0.89939673921548
15,https://www.theguardian.com/politics/2018/sep/21/theresa-may-demands-respect-from-eu-in-brexit-negotiations,1191,0.103,0.78,0.117,0.9823,-0.00037692307692309234,0.9655077803386137,0.9444018034168402,0.8563522424097726,0.7608906856126147,0.7125305318229544
14,https://www.theguardian.com/politics/2018/sep/21/what-the-eu-salzburg-summit-fallout-means-for-brexit-camps,861,0.146,0.771,0.083,-0.9951,-0.22614285714285712,-0.9902713312365474,-0.9839411116657982,-0.9540156298077779,-0.9138423764228131,-0.8897181816906783
17,https://www.theguardian.com/politics/live/2018/sep/21/theresa-may-makes-statement-outside-no-10,1834,0.103,0.781,0.117,0.9841,-0.0154264705882353,0.9689350843278003,0.949764506387335,0.8684992608940744,0.7781461019215227,0.7315341306944962
16,https://www.theguardian.com/politics/2018/sep/20/may-in-fight-to-save-chequers-brexit-plan-after-salzburg-ambush,968,0.09,0.828,0.082,-0.8817,-0.08859655172413794,-0.7974027654161001,-0.7152915189188608,-0.5087576205927684,-0.3855590290842136,-0.34028698305162547
19,https://www.theguardian.com/politics/2018/sep/21/humiliation-and-disaster-how-uk-press-covered-theresa-may-salzburg-ordeal,547,0.079,0.856,0.065,-0.7184,-0.28808749999999994,-0.5897443590550004,-0.4923432078917748,-0.31044309572660544,-0.22500454775761847,-0.19610463099704126
18,https://www.theguardian.com/politics/2018/sep/21/theresa-may-loyalists-insist-her-brexit-plan-still-workable-despite-eu-rejection,740,0.075,0.822,0.103,0.981,0.09929999999999999,0.9630434108430621,0.9405667518093335,0.8478501537489033,0.7490642890972831,0.6996321799832069
31,https://www.theguardian.com/politics/2018/sep/19/labour-conference-path-mps-crucial-brexit-vote-jeremy-corbyn,3158,0.077,0.815,0.107,0.9986,0.053997938144329904,0.9972058635838753,0.9953560656696357,0.9862590453603002,0.973069398125109,0.9645647150272448
30,https://www.theguardian.com/politics/2018/sep/19/momentum-wont-block-second-brexit-vote-debate-at-labour-conference,538,0.04,0.888,0.072,0.9255,0.08698823529411764,0.8655016121298051,0.8010912280074319,0.6114477520312286,0.4794921502708241,0.42772676490512185
36,https://www.theguardian.com/politics/2018/aug/09/plans-to-remove-womens-refuges-from-uk-welfare-system-dropped,658,0.151,0.713,0.136,-0.9693,-0.09111851851851853,-0.9412642772497515,-0.9074078673399193,-0.7800420726189601,-0.6612581832221924,-0.6067918896642376
35,https://www.theguardian.com/politics/2015/dec/18/corbyn-local-labour-councils-illegal-budget-setting-cuts,625,0.09,0.844,0.066,-0.9606,-0.131475,-0.9255178658793448,-0.8842123792942577,-0.7377826304588632,-0.6114992767348463,-0.5562097083264571
34,https://www.theguardian.com/politics/2014/jul/16/militant-derek-hatton-labour-party-1991,549,0.075,0.806,0.12,0.9859,0.12557894736842107,0.9723800901476476,0.9551895063593049,0.8811073917825302,0.7965265919017067,0.752026562418749
33,https://www.theguardian.com/politics/2017/oct/19/brexit-talks-uk-must-prepare-to-leave-without-deal-say-former-ministers,1064,0.061,0.844,0.095,0.9917,0.1581375,0.9836032975564589,0.9731098867191831,0.9252559405251622,0.8651025216287079,0.8309594024390606
32,https://www.theguardian.com/politics/2018/sep/21/britons-living-in-eu-rights-theresa-may-brexit-speech,548,0.049,0.846,0.105,0.9868,0.24204666666666666,0.9741092891722948,0.9579257826811893,0.8875939057469059,0.8061786294892523,0.7628946652132526
